,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,ACOMPANHAMENTO DO NPS 2024,,,,,,,,,,PILOTO,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Breno Colt,i
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,MÊS,NPS GERAL,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,JANEIRO,,,,,,
,,,,,,,,,FEVEREIRO,,,,,,
,,,,,,,,,MARÇO,,,,,,
,,,,,,,,,ABRIL,,,,,,
,,,,,,,,,MAIO,,,,,,
,,,,,,,,,JUNHO,,,,,,
,,,,,,,,,JULHO,,,,,,
,,,,,,,,,AGOSTO,,,,,,
,,,,,,,,,SETEMBRO,,,,,,
,,,,,,,,,OUTUBRO,,,,,,
,,,,,,,,,NOVEMBRO,"4,38",,,,,
,,,,,,,,,DEZEMBRO,,,,,,
,,,,,,,,,,,,,,,
,,,,,,CRITÉRIO,,,,,,,,,
,,,,,MÊS,COMUNICAÇÃO,DEDICAÇÃO,CONFIANÇA,PONTUALIDADE,ORGANIZAÇÃO,PROATIVIDADE,QUALIDADE NAS ENTREGAS,DOMÍNIO TÉCNICO,,
,,,,,Janeiro,,,,,,,,,,
,,,,,Fevereiro,,,,,,,,,,
,,,,,Março,,,,,,,,,,
,,,,,Abril,,,,,,,,,,
,,,,,Maio,,,,,,,,,,
,,,,,Junho,,,,,,,,,,
,,,,,Julho,,,,,,,,,,
,,,,,Agosto,,,,,,,,,,
,,,,,Setembro,,,,,,,,,,
,,,,,Outubro,,,,,,,,,,
,,,,,Novembro,"4,0","5,0","5,0","3,0","4,0","5,0","5,0","4,0",,
,,,,,Dezembro,,,,,,,,,,